"reg_no","title_front","name","surname","title_back","PIN","city"
1545,"JUDr.","Lubomír","Bejdl","",66211123,"Ústí nad Labem"
1877,"JUDr.","Rostislav","Sochor","",44556811,"Ústí nad Labem"
6762,"JUDr.","Pravoslav","Svoboda","",13329677,"Ústí nad Labem"
2173,"JUDr.","Josef","Èech","",66212855,"Ústí nad Labem"
6801,"JUDr.","Pavel","Mareèek","",15696189,"Ústí nad Labem"
2452,"JUDr.","Václav","Nygrín","",66213258,"Ústí nad Labem"
2585,"JUDr.","Stanislav","Hospùdka","",40247082,"Ústí nad Labem"
2848,"JUDr.","Karel","Suchopár","",66214611,"Ústí nad Labem"
2377,"JUDr.","Luboš","Hendrych","",66214629,"Ústí nad Labem"
6952,"JUDr.","Dagmar","Mixová","",11202645,"Ústí nad Labem"
2836,"JUDr.","Jitka","Benešová","",66214599,"Ústí nad Labem"
16502,"Mgr.","Radek","Hort","",74596110,"Únìtice"
8895,"Mgr.","Barbora","Dostálová","",66246458,"Újezdec"
2865,"JUDr.Ing.","Jaroslav","Janko","",66215242,"Újezd u Brna"
13240,"JUDr.","Iveta","Bláhová","",71445731,"Újezd nad Lesy"
13713,"Mgr.","David","Mikuleckı","",68377002,"Úholièky"
8150,"JUDr.","Daniela","Kubišová","",44037066,"Øíèany u Brna"
459,"JUDr.","Jiøí","Nykodım","",66198411,"Øíèany"
4319,"JUDr.","Zdeòka","Svobodová","",66238242,"Øíèany"
7620,"JUDr.","Zdenìk","Voseckı","",45871710,"Øíèany"
8648,"JUDr.","Petra","Olmrová Nykodımová","Ph.D.",49499271,"Øíèany"
8755,"JUDr.","Bohumil","Rùna","",66248132,"Øíèany"
8762,"JUDr.","Martin","Švéda","",46701192,"Øíèany"
8970,"JUDr.","Simona","Macášková","",66247209,"Øíèany"
10439,"JUDr. Ing.","Zdenìk","Hraba","",47038420,"Øíèany"
10762,"Mgr.","Barbora","Kölblová","",47040602,"Øíèany"
11035,"JUDr.","Jiøí","Rubek","",12527629,"Øíèany"
11380,"Mgr.","Lenka","Nìmcová","",67619401,"Øíèany"
11677,"JUDr.","Jiøí","Kindl","M.Jur.,Ph.D.",72636513,"Øíèany"
11881,"Mgr.","Lucie","Legnerová","",71466495,"Øíèany"
11944,"JUDr.","Soòa","Krausová","",45880841,"Øíèany"
12537,"JUDr.","Eva","Prchlíková Kadìrová","",71472169,"Øíèany"
14872,"Mgr.","Norbert","Hemelík","",71364803,"Øíèany"
15366,"Mgr.","Martin","Pecháèek","",2409101,"Øíèany"
16284,"Mgr.","Lukáš","Kykal","",4006976,"Øíèany"
187,"JUDr.","Zdenìk","Hraba","",66200032,"Øíèany"
883,"JUDr.","Tomáš","Hemelík","CSc.",66205395,"Øíèany"
2426,"JUDr.","Petr","Pustina","",66213266,"Øíèany"
4267,"JUDr.","Lenka","Slováèková","",66237866,"Øitka"
4663,"JUDr.","Hana","Cejnková","",66242185,"Øitka"
