"reg_no","title_front","name","surname","title_back","PIN","city"
9102,"Mgr.","Naïa","Herrmannová","",61455849,"Tøeboò"
15420,"Mgr.","Josef","Kazda","",2477441,"Tøeboò"
551,"JUDr.","Petr","Øíha","",63259044,"Tøeboò"
12615,"Mgr.Ing.","Zdenìk","Tomica","",72014831,"Tìrlicko"
13725,"JUDr.","Klára","Schneiderová","",73628956,"Tìchaøovice"
2316,"JUDr.","Lenka","Škubalová","",66218497,"Tábor"
2680,"JUDr.","František","Hanousek","",66218691,"Tábor"
2877,"JUDr.","Ivo","Danielowitz","",47268239,"Tábor"
3490,"JUDr.","Pavel","Šonka","",48247227,"Tábor"
3727,"JUDr.","Marie","Kostrùnková","",66223059,"Tábor"
4019,"JUDr.","Lenka","Danielowitzová","",66224756,"Tábor"
4737,"Mgr.","Dana","Rùièková","",40727106,"Tábor"
7264,"JUDr.","Ivo","Švarc","",66232503,"Tábor"
7736,"JUDr.","Josef","Mašek","",40727840,"Tábor"
8121,"JUDr.","Vladimír","Hudek","",62549880,"Tábor"
8328,"JUDr.","Josef","alda","",66237327,"Tábor"
8429,"JUDr.","František","Menhart","",62548077,"Tábor"
8811,"JUDr. Ing.","Miroslav","Nosek","",66248507,"Tábor"
9202,"Mgr.","Tibor","Stano","",66250536,"Tábor"
9811,"JUDr.","Jana","Macháèková","",66255317,"Tábor"
9911,"JUDr.","Miloš","Tuháèek","",72178370,"Tábor"
10106,"JUDr.","Zbynìk","Dvoøák","",66257662,"Tábor"
10532,"Mgr.","Radka","Korbelová Dohnalová","Ph.D.",71332901,"Tábor"
11523,"Mgr.","Helena","Martínková","",66784891,"Tábor"
11528,"Mgr.","Vladimír","Štol","",71462732,"Tábor"
11647,"JUDr.","Jana","Borská","",45058717,"Tábor"
11985,"Mgr.","Jan","Procházka","",63872439,"Tábor"
12008,"Mgr.","Lucie","Stano","",71469320,"Tábor"
12191,"Mgr.","Vítìzslav","Dohnal","",43997325,"Tábor"
12255,"Mgr.","Martin","Šíp","",70530742,"Tábor"
12343,"JUDr.","Tomáš","Karlík","",71470841,"Tábor"
12396,"JUDr.","Lenka","Färberová","",71470531,"Tábor"
12858,"Mgr.","Jaroslav","Kadlec","",72014563,"Tábor"
13055,"Mgr.","Pavel","Šedivı","",72112948,"Tábor"
13292,"Mgr. et Mgr.","Yvonna","Paikrová","",71446109,"Tábor"
13616,"Mgr.","Filip","Švarc","",73628034,"Tábor"
13887,"Mgr.","Pavla","Rousová","",73630233,"Tábor"
14341,"JUDr.","Romana","Prokopová","",73482072,"Tábor"
14519,"JUDr.","Marie","Martinová","",21551251,"Tábor"
14936,"JUDr.","Michal","Bernard","Ph.D.",1655167,"Tábor"
15306,"JUDr.","Jana","Èupitová","",2283000,"Tábor"
15770,"Mgr.","Robert","Plachı","",3170381,"Tábor"
15968,"Mgr.","Lucie","Prokopová","",3535771,"Tábor"
16804,"JUDr.","Petra","Humlíèková","Ph.D.",4770099,"Tábor"
50176,"","Matthias","Laurin","",1697048,"Tábor"
677,"JUDr.","Pavel","Tenkl","",66200989,"Tábor"
623,"JUDr.","Pavel","Sokol","",66200946,"Tábor"
49,"JUDr.","Pavel","Breda","",66200733,"Tábor"
530,"JUDr.","Bohumír","Procházka","",66200938,"Tábor"
1067,"JUDr.","Ladislav","Novotnı","",66207053,"Tábor"
5510,"JUDr.","Olga","Šedivá","",66232490,"Tábor"
1278,"JUDr.","Pavel","Šedivı","",66208696,"Tábor"
1577,"JUDr.","Václav","Havel","",66210062,"Tábor"
2492,"JUDr.","Aleš","Janù","",66213509,"Tábor"
2263,"JUDr.","Oldøich","Knotek","",13516558,"Tábor"
16817,"Mgr.","Filip","Èierny","",74825682,"Tábor"
16911,"Mgr.","Jan","Ruml","",71437541,"Tábor"
4171,"Mgr.","David","Burjánek","",48189065,"Turnov"
4385,"Mgr.","Pavel","Verner","",66239621,"Turnov"
4880,"Mgr.","Petr","Rous","",66243874,"Turnov"
9298,"Mgr.","Aleš","Mikl","",64239217,"Turnov"
13452,"Mgr.","Veronika","Šebo","LL.M.",71447342,"Turnov"
13764,"JUDr.","Jiøí","Duchoò","",73629251,"Turnov"
14267,"Mgr.","Martina","Kròoulová","",73733822,"Turnov"
15288,"Mgr.","František","Jaroš","",2279240,"Turnov"
15809,"Mgr.","Lenka","Vavøichová","",3266869,"Turnov"
5310,"JUDr.","Ivana","Velíšková","",66227810,"Turnov"
5592,"JUDr.","Vratislav","Slavík","",66232651,"Turnov"
5879,"JUDr.","Jan","Šimon","",11095334,"Turnov"
1407,"JUDr.","Jiøí","Stránskı","",66209013,"Turnov"
4633,"JUDr.","Eva","Dolealová","",66242177,"Trutnov"
4807,"JUDr.","Petra","Dorotíková","",66243378,"Trutnov"
7554,"JUDr.","Boøivoj","Jeek","",66232619,"Trutnov"
7852,"JUDr.","Jaroslav","Šantroch","",14530872,"Trutnov"
8105,"Mgr.","Václav","Èermák","",15022951,"Trutnov"
8968,"JUDr.","Zbynìk","Kováø","",66247195,"Trutnov"
9251,"Mgr.","Petr","Svítek","",66250854,"Trutnov"
9762,"JUDr.","Lukáš","Havel","",66254981,"Trutnov"
10502,"JUDr.","Michal","Hruška","",71330895,"Trutnov"
10806,"Mgr.","Aleš","Mìdílek","",71333606,"Trutnov"
11375,"JUDr.","Dalibor","Pluskal","",14562391,"Trutnov"
11757,"Mgr.","Ladislav","Beránek","",71467106,"Trutnov"
11900,"Mgr. Ing.","Aleš","Bouda","",71467700,"Trutnov"
12897,"Mgr.","Ondøej","Rus","",71346988,"Trutnov"
14054,"Mgr.","Kateøina","Kutišová","",73611646,"Trutnov"
14695,"Mgr.","Josef","Zeman","",1265679,"Trutnov"
15992,"Mgr.","Simona","Vomáèková","",61241164,"Trutnov"
742,"JUDr.","Zuzana","Volfová","",66202531,"Trutnov"
351,"JUDr.","Ladislav","Kutiš","",66202507,"Trutnov"
809,"JUDr.","Hana","Poprachová","",66204780,"Trutnov"
1150,"JUDr.","Soòa","Nathová","",66206928,"Trutnov"
5755,"JUDr.","Petr","Jiránek","",66232627,"Trutnov"
5738,"JUDr.","Jitka","Tomková","",66232643,"Trutnov"
5880,"JUDr.","Ludìk","Jirouš","",66232635,"Trutnov"
6169,"JUDr.","Blanka","Mourová","",10511679,"Trutnov"
2495,"JUDr.","Milan","Poprach","",66214149,"Trutnov"
7964,"JUDr.","Romana","Kloudová","",66225825,"Troubsko"
8337,"JUDr.","Zdenìk","Baøina","",40374912,"Troubsko"
119,"JUDr.","Bohumila","Enenklová","",66203783,"Troubsko"
15781,"Mgr.","Ivana","Svozilová","",3170632,"Tovéø"
10481,"Mgr.","František","Kel","",71331689,"Tlumaèov"
3645,"JUDr.","Miloš","Sobotka","",66222524,"Tišnov"
7364,"JUDr.","Vladimír","Fadinger","",40962440,"Tišnov"
8408,"JUDr.","Jana","Koláøová","",62178962,"Tišnov"
8420,"Mgr.","Miroslava","Humpolíková","",66234212,"Tišnov"
9959,"JUDr.","Karel","Maláska","",66256615,"Tišnov"
12187,"","Jaroslav","Slavíèek","",71469362,"Tisá"
14261,"Mgr.","Marie","Sciskalová","",71064401,"Teplıšovice"
2853,"JUDr.","Martin","ika","",66215404,"Teplice"
2859,"Mgr.","Štepán","Knézel","",66218071,"Teplice"
3746,"JUDr.","Miloslav","Novák","",43265979,"Teplice"
4682,"Mgr.","Milan","Zuna","",12813141,"Teplice"
7271,"JUDr.","Alois","Dvoøák","",14870274,"Teplice"
8003,"JUDr.","Jiøí","Rousek","",66232520,"Teplice"
8168,"JUDr.","Jiøí","Cajthaml","Dr.",66233534,"Teplice"
8543,"JUDr.","Roman","Hajnı","",47765381,"Teplice"
8613,"JUDr.","Jan","Hajnı","",13945475,"Teplice"
9108,"Mgr.","Veronika","Lehnertová","",66249732,"Teplice"
9584,"Mgr.","Martin","Svoboda","",67199330,"Teplice"
9675,"Mgr.","Kateøina","Mayerová Bitterová","",66254531,"Teplice"
9680,"Mgr.","Iva","Dvoøáková","LL.M.",66254566,"Teplice"
9693,"JUDr.","Lucie","Kıèková","",66254680,"Teplice"
10117,"Mgr. MUDr.","Jaroslav","Maršík","",65636325,"Teplice"
10179,"Mgr.","Jan","Benda","",66092175,"Teplice"
11111,"Mgr.","Stanislav","Øehola","",64028721,"Teplice"
11412,"Mgr.","Ludìk","Holán","",71463186,"Teplice"
11572,"Mgr.","Radka","Nekolová","",71465146,"Teplice"
11613,"Mgr.","Jan","Vrzala","",69428158,"Teplice"
12251,"Mgr.","Jitka","Èíková","",71470107,"Teplice"
12738,"Mgr.","Zuzana","Segediová","",72014539,"Teplice"
13235,"JUDr. Ing.","Marek","Andrášek","",71445684,"Teplice"
13412,"JUDr.","Dana","Kuèerová","",71447008,"Teplice"
13584,"JUDr.","Lucie","Plochová","",73627836,"Teplice"
13744,"JUDr.","Markéta","Tukinská","Ph.D.",73629081,"Teplice"
14102,"JUDr.","Miroslav","Dubran","",73612049,"Teplice"
14194,"Mgr.","Olga","Rùièková","",73612740,"Teplice"
14571,"Mgr.","Jan","Humplik","",1168762,"Teplice"
14802,"Mgr.","Martin","Sobek","",1335685,"Teplice"
15093,"JUDr.","Jan","Svoboda","",1830309,"Teplice"
15113,"Mgr.","Jan","Vondráèek","",1833235,"Teplice"
15667,"Mgr.","Jan","Port","",64691390,"Teplice"
15822,"Mgr.","Jiøí","Doleal","",3428753,"Teplice"
16088,"Mgr.","Jiøí","Puchmeltr","",3660826,"Teplice"
16320,"JUDr.","Martin","Steininger","",4010361,"Teplice"
16671,"Mgr.","Jindøich","Pojkar","",4608402,"Teplice"
16725,"Mgr.","Josef","Karnoub","",4662571,"Teplice"
50117,"","Peter","Kanev","",71332944,"Teplice"
90272,"Mgr.","Konstantin Anzoroviè","Kankava","",66255643,"Teplice"
303,"JUDr.","Ivo","Koula","",13322176,"Teplice"
660,"JUDr.","Jiøí","Suška","",66201977,"Teplice"
5002,"JUDr.","Zdenka","Juráková","",13326449,"Teplice"
856,"JUDr.","Jan","Svoboda","",13326732,"Teplice"
1071,"JUDr.","Zdenìk","Svoboda","",11446439,"Teplice"
1087,"JUDr.","Jaroslav","Savko","",11450886,"Teplice"
1214,"JUDr.","Helena","Tukinská","",13906291,"Teplice"
5742,"JUDr.","Michal","Vihan","",66232538,"Teplice"
1576,"Mgr.","Jiøí","Forst","",66211719,"Teplice"
2192,"JUDr.","Miroslav","Rousek","",66212375,"Teplice"
2268,"JUDr.","Karel","Kıèek","",66212600,"Teplice"
6847,"JUDr.","Bohumil","Sochor","",14811715,"Teplice"
6258,"JUDr.","Ladislav","Lukeš","",66236550,"Tasovice"
4278,"JUDr.","Zdenka","Libová","",41618114,"Tachov"
4649,"JUDr.","Lubomír","Soukup","",66242088,"Tachov"
9513,"Dipl. práv.","Ilka","Kleèka","",12282456,"Tachov"
10411,"Mgr.","Simona","Turková","",71330712,"Tachov"
14195,"Mgr.","Jiøí","Sedláèek","",73612758,"Tachov"
15272,"Mgr.","Andrea","Eger","",2275601,"Tachov"
15378,"Mgr.","Adam","Zítek","",2409551,"Tachov"
16558,"Mgr.","Jaroslav","Toman","LL.M.",4442083,"Tachov"
199,"JUDr.","Petr","Hrùza","",66201446,"Tachov"
683,"JUDr.","Jaroslav","Toman","",48327514,"Tachov"
1058,"JUDr.","Jiøí","Bydovskı","",48327310,"Tachov"
6581,"JUDr.","Edith","Nìmcová","",66228514,"Tachov"
2104,"JUDr.","Kvìtoslava","Tomanová","",48327522,"Tachov"
8285,"JUDr.","Darina","Nagyová","",66235936,"Tachlovice"
1571,"JUDr.","František","Zadina","",63836599,"Sázavka"
15592,"Mgr.","Klára","Hubacek","",2855348,"Svratka"
287,"JUDr.","Danuše","Koldovská","",66201560,"Svojkov"
1864,"JUDr.","Anna","Košálová","",66219159,"Svitavy"
2310,"JUDr.","Miloš","Vízdal","",41265092,"Svitavy"
2437,"JUDr.","Pavel","Barinka","",16753011,"Svitavy"
2466,"JUDr.","Eva","Mlèochová","",60889365,"Svitavy"
2801,"","Rudolf","Skoupı","",66215919,"Svitavy"
3223,"JUDr.","Milan","Šváb","",66217156,"Svitavy"
4121,"JUDr.","Miroslava","Topoláøová","",66225167,"Svitavy"
8739,"Mgr.","Lukáš","Trefil","",66247802,"Svitavy"
8936,"JUDr.","Milan","Bøeò","",66246954,"Svitavy"
9710,"Mgr.","Petr","Carda","",66254787,"Svitavy"
11237,"JUDr.","Barbora","Štìpánková","",71463143,"Svitavy"
11259,"JUDr.","Pavel","Novotnı","",71462031,"Svitavy"
11363,"JUDr.","Jana","Èepelková","",71463178,"Svitavy"
11824,"Mgr.","Jiøí","Pokornı","",71465766,"Svitavy"
13268,"Mgr. et Mgr.","Šárka","Klodnerová","",71445935,"Svitavy"
13619,"Mgr. Ing.","Lucie","Türková","",73640395,"Svitavy"
812,"JUDr.","Jiøí","Krušina","",66203627,"Svitavy"
71,"JUDr.","Petr","Carda","",66203619,"Svitavy"
8507,"Mgr.","Ludìk","Voigt","",62436490,"Svinaøov"
10013,"JUDr.","Martin","Kováèik","",66256984,"Sviadnov"
4380,"Mgr.","Pavel","Pernickı","",66239575,"Sušice"
7782,"JUDr.","Slavomír","Vlach","",48350532,"Sušice"
13103,"Mgr.","Tomáš","Nachtigall","",71345990,"Sušice"
15,"JUDr.","Jiøí","Bauer","",66201381,"Sušice"
2776,"JUDr.","Miroslav","Popel","",12832626,"Sušice"
8928,"Mgr.","Karin","Pomaizlová","",66246881,"Sulice"
9507,"Mgr.","Martina","Baladová","",66253021,"Suchov"
4638,"Mgr.","Vladimír","Kropík","",18298648,"Suchdol nad Lunicí"
14149,"Mgr.","Petra","Kropíková","",73612405,"Suchdol nad Lunicí"
7773,"JUDr.","Vìra","Nenutilová","",66232414,"Støíbro"
10914,"Mgr.","Ondøej","Bucha","",71457798,"Støíbro"
6178,"JUDr.","Tomáš","Cabalka","",13812521,"Støíbrná Skalice"
3830,"JUDr.","Jindøiška","Hillová","",10615253,"Studénka"
13168,"Mgr.","Jakub","Novák","",71347607,"Studénka"
4182,"Mgr.","Jaroslav","Novák","",66233682,"Studená"
2498,"JUDr.","Radoslav","Pøikryl","",66213517,"Studená"
1104,"JUDr.","Miroslav","Chovanec","",66219540,"Stránice"
14328,"JUDr.","Marta","Nováková","",73734357,"Stránice"
3832,"JUDr.","Jiøí","Komárek","",66223831,"Stráek"
7129,"JUDr.","Jan","ajgla","",46254927,"Strání"
7924,"JUDr.","Emília","Jancová","",66232384,"Strání"
13802,"JUDr.","Vladimír","Fraòo","",73629570,"Strání"
9463,"Mgr.","Zdenìk","Havel","",66252717,"Stranèice"
13370,"Mgr.","Lucie","Dostálová","",71446656,"Stranèice"
3934,"JUDr.","Jiøí","Leheèka","",16822463,"Strakonice"
7503,"JUDr.","Petr","Szabo","",66232368,"Strakonice"
7902,"JUDr.","Soòa","Panušková","",66232350,"Strakonice"
8665,"Mgr.","Miloslav","Tuháèek","",66246211,"Strakonice"
9441,"Mgr.","Jan","Hošek","",43841848,"Strakonice"
9683,"JUDr.","Petr","Hoštièka","Ph.D., LL.M.",66254591,"Strakonice"
10372,"Mgr.","Ilona","Nepeøená","",71330941,"Strakonice"
11045,"Mgr.","Marek","Hùzl","",71457348,"Strakonice"
11896,"JUDr.","Jiøí","Šmrha","",71467386,"Strakonice"
15027,"Mgr.","Lenka","Leheèková","",1765591,"Strakonice"
16484,"Mgr.","Lucie","Demeterová","",4437390,"Strakonice"
356,"JUDr.","Zdenìk","Lacina","",60653205,"Strakonice"
569,"JUDr.","Marie","Šatavová","",62519956,"Strakonice"
617,"JUDr.","Jiøí","Šmrha","",62517198,"Strakonice"
204,"","Karel","Hùzl","",60653213,"Strakonice"
1673,"JUDr.","Jitka","Tøeštíková","",66209722,"Strakonice"
1659,"JUDr.","Jitka","Eismanová","",62516833,"Strakonice"
90227,"","Jan","Bendik","J.D.,M.B.A",66250927,"Stod"
15414,"Mgr.","Jan","Jaroš","",2476878,"Stochov"
15892,"Mgr.","Iva","Pokorná","",3434800,"Stehelèeves"
13650,"JUDr.","Markéta","Havlová","",73628361,"Statenice - Èernı Vùl"
1734,"Mgr.","Kateøina","Košálková","",66245028,"Statenice"
11498,"JUDr.","Alice","Øíhová","",71463283,"Statenice"
8431,"JUDr.","Jaroslav","Mikuš","",12214469,"Starı Poddvorov"
7871,"JUDr.","Blanka","Èerná","",66232333,"Staré Mìsto"
10766,"Mgr.","Petr","Neèas","",69890676,"Staré Hradištì"
12421,"Mgr.","Vít","Tomaštík","",61725595,"Spytihnìv"
13379,"Mgr. Ing.","Pavel","Grim","Ph.D.",71446729,"Spešov"
1290,"JUDr.","Jiøí","Lebduška","",66209005,"Sokolov"
8043,"Mgr.","Jana","Pflugerová","",49763326,"Sokolov"
9115,"Mgr.","Pavel","Rybáø","",45412855,"Sokolov"
9595,"Mgr.Ing.","Miroslav","Šipka","",66253535,"Sokolov"
9738,"Mgr.","Petr","Broïáni","",66254817,"Sokolov"
10167,"Mgr.","Marcela","Bendová","",71329943,"Sokolov"
10328,"JUDr.","Jan","Kollár","",71330852,"Sokolov"
10488,"Mgr.","Tomáš","Ladányi","",71329374,"Sokolov"
11068,"Mgr.","Michaela","Hechtová","LL.M.",71458387,"Sokolov"
11775,"Mgr.","Kateøina","Holeèková","",71465359,"Sokolov"
11929,"Mgr.","Stanislav","Jankù","",71469460,"Sokolov"
12504,"Mgr. MUDr.","Pavel","Strejc","",45376794,"Sokolov"
12610,"JUDr.","Dagmar","Thomaschke","LL.M.",87147548,"Sokolov"
12736,"Mgr.","Pavel","Rybáø","",72014458,"Sokolov"
13708,"JUDr.","Dominik","Køí","Ph.D.",73628808,"Sokolov"
14669,"Mgr.","Petra","Severová","",1234081,"Sokolov"
15046,"Mgr.","Pavel","Èulák","",1821709,"Sokolov"
16674,"Mgr.","Sylvie","Schmiegerová","",75200520,"Sokolov"
515,"JUDr.","Radko","Poledna","",66201284,"Sokolov"
585,"JUDr.","Richard","Šendera","",62638611,"Sokolov"
5033,"JUDr.","Otto","ika","",66232279,"Sokolov"
5122,"JUDr.","Erika","Justová","",66232252,"Sokolov"
1257,"JUDr.","Josef","Kollár","",66207622,"Sokolov"
1386,"JUDr.","Vlasta","Dohnalová","",13848461,"Sokolov"
1498,"JUDr.","Zdenìk","Svoboda","",12279935,"Sokolov"
15661,"Mgr. et Mgr.","Jan","Parma","",2971607,"Sokolnice"
7833,"JUDr.","Jaroslav","Beneš","",45015121,"Sobìslav"
8589,"","Alena","Musilová","",66234271,"Sobìslav"
3184,"JUDr.","Ivana","Kejmarová","",66217008,"Sluštice"
3025,"JUDr.","Eliška","Hošková","",66215838,"Slušovice"
8126,"JUDr.","Petr","Hlaváè","",44104979,"Slušovice"
15878,"Mgr.","Karel","Nedbálek","",3433544,"Slušovice"
9457,"Mgr.","Karel","Pùš","",66252679,"Sloupno"
4235,"JUDr.","Pavlína","Švubová","",42973333,"Slezská Ostrava"
12035,"Mgr.","Roman","Šebesta","",71468056,"Slezská Ostrava"
8110,"Mgr.","Martina","Leitnerová","",66233232,"Slavkov u Brna"
10964,"Mgr. Ing.","Josef","Bartoš","",67592929,"Slavkov"
2384,"JUDr.","Marie","Macková","",40994813,"Slavièín"
2842,"Mgr.","Zdenìk","Rumplík","",46276483,"Slavièín"
4656,"Mgr.","Helena","Tomišková","",66242142,"Slatiòany"
8513,"","Miroslava","Malinovská","",66235430,"Slatiòany"
11537,"Mgr.","Stanislav","Nikl","",71465227,"Slatina"
1831,"JUDr.","Miloslav","Janda","",47004827,"Slapy"
1715,"JUDr.","Václav","Jirát","",66218811,"Slanı"
3593,"JUDr.","Jiøina","Jiráková","",45847525,"Slanı"
8047,"JUDr.","Soòa","Goetzová","",46430911,"Slanı"
8112,"JUDr.","Jana","Burleová","",62978322,"Slanı"
15129,"JUDr.","Milan","Koláø","",71111409,"Slanı"
5437,"","Vladimír","Lacina","",12253952,"Slanı"
6701,"JUDr.","Blanka","Mareèková","",66232201,"Slanı"
4595,"JUDr.","Jindøich","Janouch","",66241987,"Skøivany"
12077,"Mgr.","Monika","Hulová","",71467823,"Skorkov"
14060,"Mgr.","Markéta","Stárková","",73611689,"Sibøina"
2217,"JUDr.","Jan","Vobr","",66219761,"Sezimovo Ústí"
16466,"Mgr.","Michal","ibøid","DiS.",87953897,"Sezimovo Ústí"
2699,"JUDr.","Irena","Nìmeèková","",43048404,"Senohraby"
2549,"JUDr.","Ludmila","Puršlová","",66220157,"Semèice"
15064,"Mgr.","Ludmila","Kredbová","",1826263,"Semèice"
8101,"JUDr.","Renata","Závìrková","",49296299,"Semily"
14408,"Mgr.","Michaela","Zelinková Opršalová","",73735191,"Semily"
451,"JUDr.","Miloslav","Nosek","",15637930,"Semily"
853,"JUDr.","Jaroslav","Skákal","",66204968,"Semily"
11617,"Mgr.","Jana","Jelínková","",71465715,"Semice"
3958,"JUDr.","Hana","Kloudová","",66224390,"Sedlèany"
9862,"Mgr. Ing.","Marek","Nìmec","",10132996,"Sedlèany"
12065,"Mgr.","Zuzana","Doubravová","",71469737,"Sedlèany"
15613,"Mgr.","Pavel","Bláha","",2965402,"Sedlèany"
9989,"Mgr.","Karel","Machánek","",66256798,"Sedlec"
1796,"Mgr.","Ivo","Porè","",66220513,"Rájec-Jestøebí"
10332,"Mgr.","Pavel","Rek","",71331093,"Rájec-Jestøebí"
3493,"JUDr.","Zdenka","Vlachová","",12045527,"Rádlo"
12637,"Mgr.","Filip","Jakovidis","",72014024,"Rychvald"
14188,"Mgr.","Petr","Psotka","",73612707,"Rychvald"
14394,"Mgr.","Jiøí","Klega","",73734829,"Rychvald"
15642,"Mgr.","Pavel","Klega","",2968649,"Rychvald"
16658,"Mgr.","Pavel","Grym","",4607970,"Rychvald"
2573,"JUDr.","Zdenka","Bednáøová","",46459014,"Rychnov nad Knìnou"
3070,"JUDr.","Jaromír","Jeøábek","",66216176,"Rychnov nad Knìnou"
3827,"JUDr.","Miloslav","Tuzar","",66223491,"Rychnov nad Knìnou"
4022,"JUDr.","Tomáš","Dvoøáèek","",66224713,"Rychnov nad Knìnou"
4088,"JUDr.","Vlastimil","Plíhal","",16225317,"Rychnov nad Knìnou"
4812,"Mgr.","Iveta","Trejtnarová","",66243408,"Rychnov nad Knìnou"
6542,"JUDr.","Zdenìk","Plachetka","",45546215,"Rychnov nad Knìnou"
8083,"Mgr.","Jana","Mervartová","",66233259,"Rychnov nad Knìnou"
8641,"Mgr.","Zdenìk","Šrom","",66246024,"Rychnov nad Knìnou"
11519,"Mgr.","Lenka","Grulichová","",71462333,"Rychnov nad Knìnou"
13046,"Mgr.","Lenka","Koreèková","",71347976,"Rychnov nad Knìnou"
13968,"Mgr.","Šárka","Svobodová","",73630926,"Rychnov nad Knìnou"
16486,"Mgr.","Martin","Duben","",73581917,"Rychnov nad Knìnou"
20,"JUDr.","Vladimír","Bek","",66202477,"Rychnov nad Knìnou"
4965,"Mgr.","Marta","Hrubešová","",40187438,"Rybništì"
747,"JUDr.","Oldøich","Voenílek","",66201641,"Rumburk"
8517,"Mgr.","Vladimír","Buršík","",13328611,"Rumburk"
15128,"Mgr.","Alena","Jindrová","",71357556,"Rumburk"
635,"","Jiøí","Šrámek","",66201632,"Rumburk"
13402,"Mgr.","Martin","Kolaøík","",71446923,"Rudolfov"
4778,"JUDr.","Hana","Ruarovská","",66243122,"Rudná"
7196,"JUDr.","Even","Punèocháø","",66232147,"Rudná"
9254,"Mgr.","Hana","Iovská","",66250889,"Rudná"
9306,"Mgr.","Barbora","Rùièková","",66251435,"Rudná"
12278,"JUDr.","Kateøina","Petrelková","",71472029,"Rudná"
13581,"Mgr.","Martin","Pešek","",76014380,"Ruda nad Moravou"
9143,"JUDr.","Petr","Holzner","",13784633,"Ruda"
15918,"Mgr. Ing.","David","Bohadlo","",88248658,"Rtynì v Podkrkonoší"
2521,"Mgr.","Olga","Vrublová","",66219787,"Ronov pod Radhoštìm"
2565,"JUDr.","Ladislav","Polášek","",18096433,"Ronov pod Radhoštìm"
2639,"JUDr.","Libor","Holemı","",66245231,"Ronov pod Radhoštìm"
2670,"JUDr.","Jaroslav","Kubín","",66219621,"Ronov pod Radhoštìm"
2672,"JUDr.","Jana","Kašlíková","",18505333,"Ronov pod Radhoštìm"
3709,"JUDr.","Milan","Matula","",46570756,"Ronov pod Radhoštìm"
4636,"JUDr.","Danuše","Jurková","",66241995,"Ronov pod Radhoštìm"
4741,"JUDr.","Hana","Vágnerová","",66242690,"Ronov pod Radhoštìm"
7397,"JUDr.","Jiøina","Zbranková","",66232121,"Ronov pod Radhoštìm"
7877,"Mgr.","Hana","Poláchová","",41087577,"Ronov pod Radhoštìm"
10461,"Mgr.","Marcel","Labounek","",46126929,"Ronov pod Radhoštìm"
11438,"Mgr.","Martin","Ludvík","",71462236,"Ronov pod Radhoštìm"
13971,"JUDr.","Jiøí","Hrachovec","",73630934,"Ronov pod Radhoštìm"
15401,"JUDr.","Danuška","Grygarová","",2473364,"Ronov pod Radhoštìm"
1011,"JUDr.","Renata","Vašková","",66206081,"Ronov pod Radhoštìm"
10011,"Mgr. Ing.","Jiøí","Hruš","",66256968,"Roztoky"
12790,"Mgr.","Patrik","Ferkl","LL.M.",72015187,"Roztoky"
14574,"Mgr.","Pavel","Jakab","LL.M.",1168983,"Roztoky"
14601,"Mgr. Ing.","Petr","Machek","",1172093,"Roztoky"
16345,"Mgr.","Petra","Malaníková","",4116801,"Roztoky"
2129,"JUDr.","Jan","Slanec","",66212324,"Roztoky"
1203,"JUDr.","Miloslav","Petrela","",66207240,"Rozdrojovice"
3253,"JUDr.","Vladimír","Doleel","",66217172,"Rovensko pod Troskami"
7180,"JUDr.","Stanislava","Rieglová","",18820051,"Rousínov"
4644,"JUDr.","Jitka","Rousová","",44220111,"Roudnice nad Labem"
7064,"JUDr.","Ladislav","Šoóš","",66232104,"Roudnice nad Labem"
10750,"Mgr.","Kamila","Rouèková","",71334556,"Roudnice nad Labem"
12366,"Mgr.","Josef","Suchı","",71472207,"Roudnice nad Labem"
16242,"JUDr.","Jan","Bajer","",4005279,"Roudnice nad Labem"
708,"JUDr.","Kamila","Vágnerová","",66201829,"Roudnice nad Labem"
6223,"JUDr.","Jiøí","Rajchl","",66232091,"Roudnice nad Labem"
1583,"JUDr.","Nadìda","Pašková","",66209307,"Roudnice nad Labem"
12166,"JUDr.","Ladislava","Chládková","",71468081,"Roudnice nad Labem"
3975,"JUDr.","Ivo","Šauer","",66224322,"Rosice"
4036,"JUDr.","Jaroslava","Šupicová","",66224667,"Rosice"
4846,"Mgr.","Andrea","Trojanová","",66243645,"Rosice"
7750,"JUDr.","Jarmila","Tıèová","",47435658,"Rosice"
11413,"JUDr.","Martin","Holík","LL.M. Eur.",62111779,"Rosice"
7973,"JUDr.","Eva","Auersvaldová","",46462619,"Ronov nad Doubravou"
2365,"JUDr.","Jaroslav","Bárta","",66215447,"Rokycany"
2774,"JUDr.","Zdenìk","Polanka","",66215382,"Rokycany"
4027,"JUDr.","Vladimír","Horskı","",66224608,"Rokycany"
7848,"JUDr.","Pavel","Truxa","",66232074,"Rokycany"
10753,"Mgr.","Alice","Benešová","",73464597,"Rokycany"
11923,"JUDr.","Petra","Klukavá","",71469141,"Rokycany"
12050,"JUDr.","Jana","Sládková","",71468773,"Rokycany"
12422,"Mgr.","Karolina","Bauerová","",71472576,"Rokycany"
13192,"JUDr.","Dagmar","Vrbecká","",47708093,"Rokycany"
14305,"JUDr.","Kateøina","Královcová","",73734152,"Rokycany"
15282,"Mgr.","Dana","Houbová","",2278693,"Rokycany"
16542,"Mgr.","Jiøí","Praák","",4441346,"Rokycany"
5989,"JUDr.","Zdeòka","Lišková","",66232066,"Rokycany"
